BRANCH,START_I,END_I,ITEMS_ADD_L_M,ITEMS_DEL_L_M,TOTAL_HOLDINGS
"Atchison Public Library",59187,58250,385,1322,57178
"Baldwin City Public Library",25573,25455,199,317,25081
"Basehor Community Library",64421,64249,519,691,61855
"Bern Community Library",12320,12338,20,2,12061
"Bonner Springs City Library",60232,60650,544,126,58300
"Burlingame Community Library",14846,14912,95,29,14761
"Carbondale City Library",10622,10677,146,91,10566
"Centralia Community Library",7909,7938,32,3,7861
"Corning City Library",5154,5164,52,42,5093
"Digital Content",361,361,0,0,361
"Doniphan County Library - Elwood",2682,2663,22,41,2606
"Doniphan County Library - Highland",4972,4996,41,17,4868
"Doniphan County Library - Troy",11195,11182,96,109,10933
"Doniphan County Library - Wathena",7745,7723,70,92,7568
"Effingham Community Library",8646,8666,31,11,8565
"Eudora Community Library",16417,16523,155,49,16324
"Everest, Barnes Reading Room",12210,12279,95,26,12131
"Hiawatha, Morrill Public Library",30753,30735,100,118,30140
"Highland Community College",4904,4570,10,344,4296
"Holton, Beck-Bookman Library",25946,26000,74,20,25450
"Horton Public Library",14252,14238,45,59,13741
"Lansing Community Library",22478,22584,209,103,22242
"Leavenworth Public Library",88329,88209,443,563,81468
"Linwood Community Library",11721,11854,136,3,11731
"Louisburg Library",0,0,0,0,0
"Lyndon Carnegie Library",13275,13352,93,16,13133
"McLouth Public Library",3716,3755,39,0,3745
"Meriden-Ozawkie Public Library",16608,16224,113,497,16087
"Northeast Kansas Library System",777,739,0,38,673
"Nortonville Public Library",18976,18318,229,887,17816
"Osage City Library",23067,23021,194,240,22913
"Osawatomie Public Library",17333,17284,129,178,17141
"Oskaloosa Public Library",10531,10549,34,16,10349
"Ottawa Library",70668,70825,456,299,68491
"Overbrook Public Library",21627,21681,59,5,21344
"Paola Free Library",31312,31216,151,247,30093
"Perry-Lecompton Community Library",11364,11607,245,2,11587
"Pomona Community Library",7552,7658,111,5,7496
"Prairie Hills Schools - Axtell Public School",11947,11947,0,0,10472
"Prairie Hills Schools - Sabetha Elementary School",16010,16010,0,0,12875
"Prairie Hills Schools - Sabetha High School",3760,3760,0,0,3583
"Prairie Hills Schools - Sabetha Middle School",4921,4921,0,0,4295
"Prairie Hills Schools - Wetmore Academic Center",13457,13457,0,0,9550
"Richmond Public Library",8081,8077,44,48,8035
"Rossville Community Library",15569,15628,102,43,15549
"Sabetha, Mary Cotton Library",30279,30281,167,165,29613
"Seneca Free Library",22557,22600,53,10,22514
"Silver Lake Library",11129,11205,96,20,10589
"Tonganoxie Public Library",27932,27628,318,622,27342
"Valley Falls, Delaware Township Library",10573,10595,36,14,10524
"Wellsville City Library",23104,22931,46,219,22367
"Wetmore Public Library",10924,10923,22,23,10827
"Williamsburg Community Library",14311,14303,38,46,14190
"Winchester Public Library",14190,13703,22,509,13379
