Library,"Other Next library materials checked out at our library","Our materials checked out at other Next libraries",NET,"Net borrower","Net lender","Borrowed to lent ratio"
"Atchison Public Library",1691,1104,587,"We borrowerd more than we lent",,"1.53 : 1"
"Baldwin City Public Library",477,448,29,"We borrowerd more than we lent",,"1.06 : 1"
"Basehor Community Library",1394,1350,44,"We borrowerd more than we lent",,"1.03 : 1"
"Bern Community Library",84,119,-35,,"We lent more than we borrowed","0.71 : 1"
"Bonner Springs City Library",1047,1308,-261,,"We lent more than we borrowed","0.80 : 1"
"Burlingame Community Library",174,221,-47,,"We lent more than we borrowed","0.79 : 1"
"Carbondale City Library",127,242,-115,,"We lent more than we borrowed","0.52 : 1"
"Centralia Community Library",46,55,-9,,"We lent more than we borrowed","0.84 : 1"
"Corning City Library",3,13,-10,,"We lent more than we borrowed","0.23 : 1"
"Digital Content",0,0,0,,,
"Doniphan County Library - Elwood",16,24,-8,,"We lent more than we borrowed","0.67 : 1"
"Doniphan County Library - Highland",138,95,43,"We borrowerd more than we lent",,"1.45 : 1"
"Doniphan County Library - Troy",137,290,-153,,"We lent more than we borrowed","0.47 : 1"
"Doniphan County Library - Wathena",81,97,-16,,"We lent more than we borrowed","0.84 : 1"
"Effingham Community Library",26,144,-118,,"We lent more than we borrowed","0.18 : 1"
"Eudora Community Library",637,457,180,"We borrowerd more than we lent",,"1.39 : 1"
"Everest, Barnes Reading Room",19,106,-87,,"We lent more than we borrowed","0.18 : 1"
"Hiawatha, Morrill Public Library",590,417,173,"We borrowerd more than we lent",,"1.41 : 1"
"Highland Community College",1,61,-60,,"We lent more than we borrowed","0.02 : 1"
"Holton, Beck-Bookman Library",536,402,134,"We borrowerd more than we lent",,"1.33 : 1"
"Horton Public Library",28,65,-37,,"We lent more than we borrowed","0.43 : 1"
"Lansing Community Library",676,458,218,"We borrowerd more than we lent",,"1.48 : 1"
"Leavenworth Public Library",1731,1389,342,"We borrowerd more than we lent",,"1.25 : 1"
"Linwood Community Library",160,417,-257,,"We lent more than we borrowed","0.38 : 1"
"Louisburg Library",0,0,0,,,
"Lyndon Carnegie Library",245,213,32,"We borrowerd more than we lent",,"1.15 : 1"
"McLouth Public Library",60,78,-18,,"We lent more than we borrowed","0.77 : 1"
"Meriden-Ozawkie Public Library",595,456,139,"We borrowerd more than we lent",,"1.30 : 1"
"Northeast Kansas Library System",29,48,-19,,"We lent more than we borrowed","0.60 : 1"
"Nortonville Public Library",62,299,-237,,"We lent more than we borrowed","0.21 : 1"
"Osage City Library",399,468,-69,,"We lent more than we borrowed","0.85 : 1"
"Osawatomie Public Library",420,530,-110,,"We lent more than we borrowed","0.79 : 1"
"Oskaloosa Public Library",244,90,154,"We borrowerd more than we lent",,"2.71 : 1"
"Ottawa Library",996,975,21,"We borrowerd more than we lent",,"1.02 : 1"
"Overbrook Public Library",202,355,-153,,"We lent more than we borrowed","0.57 : 1"
"Paola Free Library",585,341,244,"We borrowerd more than we lent",,"1.72 : 1"
"Perry-Lecompton Community Library",15,199,-184,,"We lent more than we borrowed","0.08 : 1"
"Prairie Hills Schools - Axtell Public School",0,10,-10,,"We lent more than we borrowed","0.00 : 1"
"Prairie Hills Schools - Sabetha Elementary School",0,22,-22,,"We lent more than we borrowed","0.00 : 1"
"Prairie Hills Schools - Sabetha High School",0,9,-9,,"We lent more than we borrowed","0.00 : 1"
"Prairie Hills Schools - Sabetha Middle School",0,1,-1,,"We lent more than we borrowed","0.00 : 1"
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,,,
"Pomona Community Library",191,89,102,"We borrowerd more than we lent",,"2.15 : 1"
"Richmond Public Library",115,154,-39,,"We lent more than we borrowed","0.75 : 1"
"Rossville Community Library",467,687,-220,,"We lent more than we borrowed","0.68 : 1"
"Sabetha, Mary Cotton Library",780,589,191,"We borrowerd more than we lent",,"1.32 : 1"
"Seneca Free Library",282,706,-424,,"We lent more than we borrowed","0.40 : 1"
"Silver Lake Library",309,213,96,"We borrowerd more than we lent",,"1.45 : 1"
"Tonganoxie Public Library",945,573,372,"We borrowerd more than we lent",,"1.65 : 1"
"Valley Falls, Delaware Township Library",174,106,68,"We borrowerd more than we lent",,"1.64 : 1"
"Wellsville City Library",318,532,-214,,"We lent more than we borrowed","0.60 : 1"
"Wetmore Public Library",134,225,-91,,"We lent more than we borrowed","0.60 : 1"
"Williamsburg Community Library",26,178,-152,,"We lent more than we borrowed","0.15 : 1"
"Winchester Public Library",234,218,16,"We borrowerd more than we lent",,"1.07 : 1"
