Library,"Requests placed last month","Requests filled last month","Requests cancelled after placement on hold shelf","Requests cancelled while in transit","Requests cancelled before an item was found","Requests cancelled total","Requests expired last month","Requests placed by staff","Requests placed in the OPAC"
"Atchison Public Library",2800,0,78,7,55,140,5,410,2390
"Baldwin City Public Library",860,0,73,2,49,124,1,260,600
"Basehor Community Library",2690,0,181,0,57,238,8,604,2086
"Bern Community Library",56,0,0,0,1,1,0,36,20
"Bonner Springs City Library",2802,0,199,1,97,297,6,806,1996
"Burlingame Community Library",262,0,4,2,22,28,19,104,158
"Carbondale City Library",98,0,8,1,3,12,0,52,46
"Centralia Community Library",100,0,1,0,0,1,0,44,56
"Corning City Library",1,0,0,0,0,0,0,0,1
"Digital Content",0,0,0,0,0,0,0,0,0
"Doniphan County Library - Elwood",208,0,1,0,4,5,0,182,26
"Doniphan County Library - Highland",370,0,4,0,5,9,0,136,234
"Doniphan County Library - Troy",278,0,10,0,5,15,1,176,102
"Doniphan County Library - Wathena",314,0,10,8,10,28,1,150,164
"Effingham Community Library",78,0,3,0,0,3,0,66,12
"Eudora Community Library",1098,0,60,4,25,89,5,348,750
"Everest, Barnes Reading Room",88,0,1,0,1,2,1,24,64
"Hiawatha, Morrill Public Library",1100,0,17,6,33,56,2,268,832
"Highland Community College",2,0,0,0,2,2,0,1,1
"Holton, Beck-Bookman Library",856,0,26,3,20,49,2,360,496
"Horton Public Library",52,0,0,1,1,2,0,30,22
"Lansing Community Library",1374,0,119,7,38,164,18,254,1120
"Leavenworth Public Library",3702,0,161,4,120,285,6,920,2782
"Linwood Community Library",284,0,11,1,5,17,0,96,188
"Louisburg Library",0,0,0,0,0,0,0,0,0
"Lyndon Carnegie Library",278,0,23,3,9,35,7,140,138
"McLouth Public Library",40,0,7,0,0,7,0,16,24
"Meriden-Ozawkie Public Library",832,0,3,1,13,17,0,266,566
"Northeast Kansas Library System",194,0,0,1,76,77,1,130,64
"Nortonville Public Library",106,0,3,0,2,5,0,28,78
"Osage City Library",978,0,98,0,43,141,19,514,464
"Osawatomie Public Library",848,0,6,2,38,46,6,458,390
"Oskaloosa Public Library",264,0,11,0,12,23,0,112,152
"Ottawa Library",2386,0,240,5,68,313,7,868,1518
"Overbrook Public Library",448,0,7,0,17,24,0,154,294
"Paola Free Library",1140,0,126,2,31,159,3,512,628
"Perry-Lecompton Community Library",32,0,0,0,1,1,0,8,24
"Pomona Community Library",142,0,31,0,4,35,1,60,82
"Prairie Hills Schools - Axtell Public School",36,0,4,0,0,4,0,14,22
"Prairie Hills Schools - Sabetha Elementary School",158,0,5,0,0,5,0,100,58
"Prairie Hills Schools - Sabetha High School",2,0,0,0,0,0,0,1,1
"Prairie Hills Schools - Sabetha Middle School",26,0,3,0,0,3,0,20,6
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,0,0,0,0,0,0
"Richmond Public Library",107,0,2,0,9,11,0,40,67
"Rossville Community Library",1042,0,24,4,26,54,0,468,574
"Sabetha, Mary Cotton Library",1652,0,3,5,28,36,1,284,1368
"Seneca Free Library",328,0,7,0,7,14,2,142,186
"Silver Lake Library",940,0,7,2,16,25,0,312,628
"Tonganoxie Public Library",2150,0,132,4,47,183,15,594,1556
"Valley Falls, Delaware Township Library",320,0,21,0,2,23,0,70,250
"Wellsville City Library",958,0,18,1,15,34,2,342,616
"Wetmore Public Library",194,0,0,0,0,0,0,36,158
"Williamsburg Community Library",22,0,1,0,0,1,0,14,8
"Winchester Public Library",634,0,3,1,15,19,0,156,478
